Grid_ID,CNN_PCA_01,CNN_PCA_02,CNN_PCA_03,CNN_PCA_04,CNN_PCA_05,CNN_PCA_06,CNN_PCA_07,CNN_PCA_08,CNN_PCA_09,CNN_PCA_10,CNN_PCA_11,CNN_PCA_12,CNN_PCA_13,CNN_PCA_14,CNN_PCA_15,CNN_PCA_16,CNN_PCA_17,CNN_PCA_18,CNN_PCA_19,CNN_PCA_20,CNN_PCA_21,CNN_PCA_22,CNN_PCA_23,CNN_PCA_24,Y_Target,image_file
site3_26.png_X0_Y0,0.1471551,0.16889635,0.45142367,0.4264382,0.48517966,0.40389094,0.24419816,0.48199907,0.4277391,0.48836482,0.48007548,0.48607665,0.31081763,0.39825967,0.52812696,0.43606752,0.48218548,0.53717947,0.54239565,0.3111612,0.69073385,0.37076482,0.5843037,0.19556162,0,site3_26.png
site3_26.png_X256_Y0,0.15565595,0.14309004,0.47808254,0.56064963,0.4365621,0.48370042,0.27682707,0.4726331,0.4924087,0.48773557,0.47202316,0.4043863,0.29362634,0.34313542,0.58792377,0.42014682,0.62629557,0.5295768,0.3925237,0.330467,0.5290106,0.42420456,0.57927847,0.25874966,0,site3_26.png
site3_26.png_X0_Y256,0.28497267,0.2135346,0.45277897,0.36596796,0.48848775,0.5042044,0.21293835,0.3709576,0.48212385,0.4839876,0.52940494,0.4740985,0.1972674,0.3770028,0.52889395,0.5463085,0.5456968,0.5418579,0.6043613,0.2590642,0.62168103,0.5655726,0.6469906,0.24527498,0,site3_26.png
site3_26.png_X256_Y256,0.18228652,0.20050374,0.4507682,0.41799027,0.477473,0.2798559,0.23249987,0.3850616,0.3875168,0.5913711,0.5165263,0.37811306,0.30252922,0.3579762,0.6364902,0.41128874,0.6453868,0.5472746,0.506438,0.320488,0.64345306,0.5373383,0.55496484,0.2889856,0,site3_26.png
site3_56.png_X0_Y0,0.0327217,0.2503094,0.39930558,0.24800123,0.6950384,0.3911288,0.2975063,0.64059645,0.256554,0.53264993,0.48249224,0.44662762,0.3560766,0.55129594,0.42441994,0.5006235,0.57901776,0.39736703,0.58893037,0.41483587,0.5908697,0.38867265,0.54429066,0.46682298,0,site3_56.png
site3_56.png_X256_Y0,0.15861952,0.2060027,0.4224886,0.32339475,0.4588023,0.3662141,0.19675583,0.42190215,0.42272297,0.60340506,0.5012652,0.47841322,0.25671804,0.48946497,0.56800413,0.49836555,0.59046584,0.4388836,0.6384937,0.3342259,0.72734606,0.51819736,0.54216826,0.32143041,0,site3_56.png
site3_56.png_X0_Y256,0.050793916,0.26102483,0.3873843,0.27954194,0.575113,0.36387718,0.2240088,0.5186814,0.38820326,0.5479339,0.44877428,0.52584946,0.2314551,0.58056784,0.40886748,0.4529034,0.49759525,0.42187807,0.5906843,0.35988212,0.6083616,0.4944326,0.49628952,0.36486274,0,site3_56.png
site3_56.png_X256_Y256,0.18707553,0.13936439,0.44319835,0.2662445,0.5859336,0.37424266,0.29427832,0.451218,0.47994164,0.68432087,0.6043515,0.44248018,0.26809067,0.5136076,0.6602272,0.3958045,0.52837515,0.49056274,0.60943276,0.43812788,0.6992034,0.35031208,0.56276333,0.36264816,0,site3_56.png
site3_81.png_X0_Y0,0.085508734,0.28512415,0.34825858,0.10556543,0.6930201,0.45162052,0.43564868,0.6342693,0.29874295,0.9679215,0.5411282,0.5817926,0.57444984,0.70534825,0.65156054,0.39108518,0.48173562,0.68025917,0.4524819,0.4296585,0.34403843,0.6632146,0.50578755,0.3298638,0,site3_81.png
site3_81.png_X256_Y0,0.05224371,0.27334547,0.36373028,0.11685836,0.71460426,0.46048856,0.4027293,0.6332787,0.24581803,0.9590516,0.51315475,0.54328185,0.4693408,0.7111982,0.593329,0.35322255,0.47337714,0.6560891,0.48334217,0.44351512,0.47246894,0.6017742,0.5253018,0.4101495,0,site3_81.png
site3_81.png_X0_Y256,0.070983544,0.25041163,0.33902276,0.13421372,0.6387262,0.46343654,0.35521972,0.5095023,0.3525919,0.7922936,0.57736725,0.45211023,0.45031676,0.66942537,0.46943882,0.41947824,0.4734172,0.59315103,0.41066778,0.419539,0.493148,0.6005518,0.34907782,0.37182474,0,site3_81.png
site3_81.png_X256_Y256,0.1738103,0.27502677,0.39358264,0.14938203,0.66090244,0.5061188,0.412418,0.6522945,0.3220432,0.8126419,0.58302253,0.47681153,0.47534174,0.52943105,0.50373274,0.34207052,0.4640568,0.5279156,0.540439,0.446608,0.43912515,0.58962184,0.54154164,0.3531647,0,site3_81.png
site3_82.png_X0_Y0,0.11067225,0.28781164,0.34870028,0.17995016,0.6879746,0.35515898,0.40122166,0.62433225,0.3549629,0.8593754,0.49173275,0.43428764,0.4543061,0.6847356,0.53980696,0.3465505,0.4319468,0.63689494,0.48593232,0.40674475,0.41661096,0.5901925,0.41948152,0.3668255,0,site3_82.png
site3_82.png_X256_Y0,0.07008508,0.3145932,0.35170656,0.23306629,0.60969543,0.4098118,0.33019653,0.5921253,0.27930287,0.8236544,0.48366684,0.46678415,0.42216197,0.6076101,0.5809579,0.40885386,0.40766844,0.55879235,0.53540015,0.36524302,0.38863698,0.6040298,0.50078654,0.3615168,0,site3_82.png
site3_82.png_X0_Y256,0.53186804,0.20378552,0.4539665,0.079591125,0.5323856,0.44548225,0.38886,0.6953684,0.35663244,0.7159283,0.5520349,0.3922763,0.51034737,0.55229104,0.6941949,0.41163749,0.5104531,0.65117514,0.55717933,0.4720953,0.52537906,0.5465291,0.52181494,0.26217294,1,site3_82.png
site3_82.png_X256_Y256,0.09864256,0.27191132,0.37629896,0.22071043,0.6760609,0.4220041,0.33343428,0.6159206,0.30743638,0.7795641,0.51437503,0.3921806,0.3842551,0.6014253,0.5712374,0.39373416,0.47177726,0.5507536,0.5355994,0.42923778,0.48175088,0.57269084,0.4821368,0.4375363,0,site3_82.png
site3_112.png_X0_Y0,0.09944324,0.22122784,0.3947631,0.17852007,0.68621296,0.4214912,0.3095343,0.6292398,0.40371805,0.4787572,0.576155,0.30150747,0.30548942,0.47966164,0.3633629,0.5021358,0.44243795,0.45638674,0.4969897,0.5421098,0.4565504,0.5434654,0.43499655,0.49806178,0,site3_112.png
site3_112.png_X256_Y0,0.6253829,0.3946884,0.33364236,0.17387709,0.44767278,0.4182898,0.16660869,0.7963965,0.41966167,0.55527437,0.59912187,0.31713408,0.28642386,0.420296,0.32629102,0.3878811,0.45055628,0.5542331,0.5383367,0.4217747,0.4079194,0.5431257,0.65958214,0.3419819,1,site3_112.png
site3_112.png_X0_Y256,0.42136094,0.24532335,0.45251563,0.17508419,0.5413831,0.43237445,0.27175805,0.65057635,0.35167068,0.47370943,0.58938277,0.313163,0.29137942,0.4989939,0.44046703,0.4717952,0.5180947,0.5260578,0.5555956,0.49582338,0.5356212,0.6322926,0.4082767,0.32963425,1,site3_112.png
site3_112.png_X256_Y256,0.31047562,0.11304501,0.44193932,0.13159823,0.581877,0.3615256,0.29803964,0.5557045,0.5256088,0.5653648,0.6827259,0.3009829,0.275904,0.4264468,0.5057428,0.38878307,0.6489734,0.5301096,0.6151843,0.5782032,0.4411403,0.37530726,0.58014655,0.41852397,1,site3_112.png
site3_113.png_X0_Y0,0.42075637,0.45211062,0.2896483,0.1723292,0.366467,0.45858955,0.2495269,0.7566123,0.44206572,0.38511455,0.72602296,0.31778017,0.24279292,0.67648554,0.3340413,0.3813577,0.45072952,0.6371973,0.34380692,0.4526705,0.28727543,0.50240016,0.682477,0.30107874,2,site3_113.png
site3_113.png_X256_Y0,0.3147059,0.19003217,0.43183452,0.19957794,0.48965633,0.35920706,0.2601053,0.53944445,0.6133977,0.39124295,0.47183457,0.3316354,0.116488636,0.52774507,0.42722315,0.5431743,0.5617043,0.43080512,0.52195674,0.44803423,0.5624592,0.5166236,0.43939966,0.33734354,1,site3_113.png
site3_113.png_X0_Y256,0.38584682,0.24333696,0.41753513,0.21088631,0.50622636,0.31338206,0.27359024,0.6231314,0.61467534,0.43154472,0.45690668,0.26971772,0.14122921,0.5079238,0.4277169,0.57663894,0.5139278,0.50569105,0.47406334,0.40844053,0.41480723,0.50098234,0.39564598,0.31902844,1,site3_113.png
