pca_components,num_rules,learning_rate,weight_decay,class_weight_power,label_smoothing,generation,score,val_acc,val_macro_f1,best_val_loss
24,12,0.003,1e-05,1.0,0.02,1,0.8136774454686224,0.8221925133689839,0.7978637479393794,0.6536915898323059
20,10,0.003,1e-05,1.2,0.0,2,0.8113907922757437,0.820855614973262,0.7938132644089241,0.6439223289489746
30,10,0.003,5e-05,1.0,0.0,1,0.8102585787728311,0.81951871657754,0.7930611799926574,0.6440693140029907
24,12,0.003,0.0,1.2,0.02,3,0.8096257475134159,0.81951871657754,0.7912530906800423,0.6846314072608948
30,12,0.003,1e-05,1.0,0.0,2,0.8093347627598187,0.8181818181818182,0.7929045169761054,0.6516140103340149
20,12,0.003,1e-05,1.0,0.02,3,0.8085740712710795,0.8168449197860963,0.7932139240289054,0.6694716215133667
20,12,0.003,1e-05,1.2,0.0,3,0.8085225687143038,0.8168449197860963,0.7930667738666893,0.6319896578788757
30,10,0.003,1e-05,1.0,0.02,2,0.8061257581262588,0.8168449197860963,0.7862187436151319,0.6648053526878357
36,10,0.0015,5e-05,1.2,0.05,1,0.8060797492599433,0.8155080213903744,0.7885701010177142,0.7426533102989197
20,10,0.0015,0.0,1.2,0.05,1,0.8047119478709226,0.8128342245989305,0.789627719661765,0.7083950638771057
20,10,0.003,1e-05,1.0,0.0,3,0.8042460882169853,0.8141711229946524,0.7858138807727464,0.6304171681404114
20,15,0.003,1e-05,0.7,0.0,1,0.8038902875848225,0.8128342245989305,0.7872801188443361,0.644518256187439
40,8,0.005,5e-05,1.0,0.0,1,0.8035064416045272,0.8128342245989305,0.7861834160434923,0.6156274080276489
40,10,0.003,1e-05,1.2,0.02,3,0.8028818564925839,0.8114973262032086,0.7868816984585668,0.681930661201477
24,12,0.003,0.0,1.0,0.0,2,0.8023129008134079,0.8114973262032086,0.7852561108037781,0.6347371339797974
24,10,0.003,1e-05,1.0,0.0,2,0.7996908258921742,0.8088235294117647,0.7827300907843632,0.669134259223938
30,10,0.0015,1e-05,1.0,0.0,2,0.7990878184826324,0.8088235294117647,0.7810072124713869,0.6576560735702515
36,18,0.003,1e-05,1.0,0.0,3,0.7990122767404241,0.8088235294117647,0.7807913789222201,0.6803780794143677
36,8,0.0015,1e-05,0.7,0.0,1,0.7976828375028173,0.8074866310160428,0.779475792406827,0.6700456142425537
16,10,0.005,5e-05,1.2,0.0,1,0.7947765485039862,0.803475935828877,0.778620543472046,0.6483357548713684
