Grid_ID,image_id,image_file,x,y,kepadatan,Y_Target
site3_26.png_X0_Y0,23,site3_26.png,0,0,0.0,0
site3_26.png_X256_Y0,23,site3_26.png,256,0,0.0,0
site3_26.png_X0_Y256,23,site3_26.png,0,256,0.0,0
site3_26.png_X256_Y256,23,site3_26.png,256,256,0.0187530517578125,0
site3_56.png_X0_Y0,45,site3_56.png,0,0,0.0,0
site3_56.png_X256_Y0,45,site3_56.png,256,0,0.0,0
site3_56.png_X0_Y256,45,site3_56.png,0,256,0.0,0
site3_56.png_X256_Y256,45,site3_56.png,256,256,0.0,0
site3_81.png_X0_Y0,67,site3_81.png,0,0,0.0,0
site3_81.png_X256_Y0,67,site3_81.png,256,0,0.0,0
site3_81.png_X0_Y256,67,site3_81.png,0,256,0.0,0
site3_81.png_X256_Y256,67,site3_81.png,256,256,0.02691650390625,0
site3_82.png_X0_Y0,68,site3_82.png,0,0,0.0,0
site3_82.png_X256_Y0,68,site3_82.png,256,0,0.0,0
site3_82.png_X0_Y256,68,site3_82.png,0,256,0.0632476806640625,1
site3_82.png_X256_Y256,68,site3_82.png,256,256,0.014434814453125,0
site3_112.png_X0_Y0,94,site3_112.png,0,0,0.0465240478515625,0
site3_112.png_X256_Y0,94,site3_112.png,256,0,0.2047271728515625,1
site3_112.png_X0_Y256,94,site3_112.png,0,256,0.0635833740234375,1
site3_112.png_X256_Y256,94,site3_112.png,256,256,0.05535888671875,1
site3_113.png_X0_Y0,95,site3_113.png,0,0,0.4920806884765625,2
site3_113.png_X256_Y0,95,site3_113.png,256,0,0.0538177490234375,1
site3_113.png_X0_Y256,95,site3_113.png,0,256,0.058197021484375,1
site3_113.png_X256_Y256,95,site3_113.png,256,256,0.00286865234375,0
site3_117.png_X0_Y0,99,site3_117.png,0,0,0.0,0
site3_117.png_X256_Y0,99,site3_117.png,256,0,0.0809783935546875,1
site3_117.png_X0_Y256,99,site3_117.png,0,256,0.0,0
site3_117.png_X256_Y256,99,site3_117.png,256,256,0.0,0
site3_143.png_X0_Y0,122,site3_143.png,0,0,0.004302978515625,0
site3_143.png_X256_Y0,122,site3_143.png,256,0,0.462310791015625,2
site3_143.png_X0_Y256,122,site3_143.png,0,256,0.0,0
site3_143.png_X256_Y256,122,site3_143.png,256,256,0.0,0
site3_144.png_X0_Y0,123,site3_144.png,0,0,0.0,0
site3_144.png_X256_Y0,123,site3_144.png,256,0,0.108551025390625,1
site3_144.png_X0_Y256,123,site3_144.png,0,256,0.0,0
site3_144.png_X256_Y256,123,site3_144.png,256,256,0.0,0
site3_206.png_X0_Y0,181,site3_206.png,0,0,0.0,0
site3_206.png_X256_Y0,181,site3_206.png,256,0,0.0,0
site3_206.png_X0_Y256,181,site3_206.png,0,256,0.132598876953125,1
site3_206.png_X256_Y256,181,site3_206.png,256,256,0.3791961669921875,1
site3_236.png_X0_Y0,209,site3_236.png,0,0,0.0091094970703125,0
site3_236.png_X256_Y0,209,site3_236.png,256,0,0.0001068115234375,0
site3_236.png_X0_Y256,209,site3_236.png,0,256,0.1185760498046875,1
site3_236.png_X256_Y256,209,site3_236.png,256,256,0.0042724609375,0
site3_237.png_X0_Y0,210,site3_237.png,0,0,0.021881103515625,0
site3_237.png_X256_Y0,210,site3_237.png,256,0,0.3951416015625,1
site3_237.png_X0_Y256,210,site3_237.png,0,256,0.0,0
site3_237.png_X256_Y256,210,site3_237.png,256,256,0.197235107421875,1
site3_266.png_X0_Y0,238,site3_266.png,0,0,0.0,0
site3_266.png_X256_Y0,238,site3_266.png,256,0,0.0,0
site3_266.png_X0_Y256,238,site3_266.png,0,256,0.0,0
site3_266.png_X256_Y256,238,site3_266.png,256,256,0.0,0
site3_267.png_X0_Y0,239,site3_267.png,0,0,0.0781402587890625,1
site3_267.png_X256_Y0,239,site3_267.png,256,0,0.0,0
site3_267.png_X0_Y256,239,site3_267.png,0,256,0.287353515625,1
site3_267.png_X256_Y256,239,site3_267.png,256,256,0.0051116943359375,0
site3_268.png_X0_Y0,240,site3_268.png,0,0,0.003692626953125,0
site3_268.png_X256_Y0,240,site3_268.png,256,0,0.0,0
site3_268.png_X0_Y256,240,site3_268.png,0,256,0.0,0
site3_268.png_X256_Y256,240,site3_268.png,256,256,0.0,0
site3_292.png_X0_Y0,263,site3_292.png,0,0,0.0,0
site3_292.png_X256_Y0,263,site3_292.png,256,0,0.0,0
site3_292.png_X0_Y256,263,site3_292.png,0,256,0.0,0
site3_292.png_X256_Y256,263,site3_292.png,256,256,0.0,0
site3_294.png_X0_Y0,265,site3_294.png,0,0,0.0,0
site3_294.png_X256_Y0,265,site3_294.png,256,0,0.0,0
site3_294.png_X0_Y256,265,site3_294.png,0,256,0.0,0
site3_294.png_X256_Y256,265,site3_294.png,256,256,0.045928955078125,0
site3_298.png_X0_Y0,269,site3_298.png,0,0,0.1989288330078125,1
site3_298.png_X256_Y0,269,site3_298.png,256,0,0.0901031494140625,1
site3_298.png_X0_Y256,269,site3_298.png,0,256,0.4032135009765625,2
site3_298.png_X256_Y256,269,site3_298.png,256,256,0.09356689453125,1
site3_299.png_X0_Y0,270,site3_299.png,0,0,0.0652313232421875,1
site3_299.png_X256_Y0,270,site3_299.png,256,0,0.0,0
site3_299.png_X0_Y256,270,site3_299.png,0,256,0.0,0
site3_299.png_X256_Y256,270,site3_299.png,256,256,0.111419677734375,1
site3_320.png_X0_Y0,290,site3_320.png,0,0,0.0,0
site3_320.png_X256_Y0,290,site3_320.png,256,0,0.12841796875,1
site3_320.png_X0_Y256,290,site3_320.png,0,256,0.0,0
site3_320.png_X256_Y256,290,site3_320.png,256,256,0.053436279296875,1
site3_321.png_X0_Y0,291,site3_321.png,0,0,0.0,0
site3_321.png_X256_Y0,291,site3_321.png,256,0,0.154205322265625,1
site3_321.png_X0_Y256,291,site3_321.png,0,256,0.0296783447265625,0
site3_321.png_X256_Y256,291,site3_321.png,256,256,0.00128173828125,0
site3_322.png_X0_Y0,292,site3_322.png,0,0,0.25445556640625,1
site3_322.png_X256_Y0,292,site3_322.png,256,0,0.0097808837890625,0
site3_322.png_X0_Y256,292,site3_322.png,0,256,0.29852294921875,1
site3_322.png_X256_Y256,292,site3_322.png,256,256,0.052093505859375,1
site3_323.png_X0_Y0,293,site3_323.png,0,0,0.717437744140625,2
site3_323.png_X256_Y0,293,site3_323.png,256,0,0.4584503173828125,2
site3_323.png_X0_Y256,293,site3_323.png,0,256,0.18243408203125,1
site3_323.png_X256_Y256,293,site3_323.png,256,256,0.1520538330078125,1
site3_324.png_X0_Y0,294,site3_324.png,0,0,0.01776123046875,0
site3_324.png_X256_Y0,294,site3_324.png,256,0,0.0,0
site3_324.png_X0_Y256,294,site3_324.png,0,256,0.3903045654296875,1
site3_324.png_X256_Y256,294,site3_324.png,256,256,0.13311767578125,1
site3_325.png_X0_Y0,295,site3_325.png,0,0,0.0,0
site3_325.png_X256_Y0,295,site3_325.png,256,0,0.072357177734375,1
site3_325.png_X0_Y256,295,site3_325.png,0,256,0.0,0
site3_325.png_X256_Y256,295,site3_325.png,256,256,0.0,0
site3_326.png_X0_Y0,296,site3_326.png,0,0,0.0,0
site3_326.png_X256_Y0,296,site3_326.png,256,0,0.0,0
site3_326.png_X0_Y256,296,site3_326.png,0,256,0.0,0
site3_326.png_X256_Y256,296,site3_326.png,256,256,0.0866546630859375,1
site3_328.png_X0_Y0,298,site3_328.png,0,0,0.0,0
site3_328.png_X256_Y0,298,site3_328.png,256,0,0.0,0
site3_328.png_X0_Y256,298,site3_328.png,0,256,0.0009613037109375,0
site3_328.png_X256_Y256,298,site3_328.png,256,256,0.0655364990234375,1
site3_330.png_X0_Y0,300,site3_330.png,0,0,0.0110015869140625,0
site3_330.png_X256_Y0,300,site3_330.png,256,0,0.1432647705078125,1
site3_330.png_X0_Y256,300,site3_330.png,0,256,0.0,0
site3_330.png_X256_Y256,300,site3_330.png,256,256,0.0,0
site3_351.png_X0_Y0,319,site3_351.png,0,0,0.0,0
site3_351.png_X256_Y0,319,site3_351.png,256,0,0.0,0
site3_351.png_X0_Y256,319,site3_351.png,0,256,0.0099029541015625,0
site3_351.png_X256_Y256,319,site3_351.png,256,256,0.1360931396484375,1
site3_352.png_X0_Y0,320,site3_352.png,0,0,0.17108154296875,1
site3_352.png_X256_Y0,320,site3_352.png,256,0,0.1766815185546875,1
site3_352.png_X0_Y256,320,site3_352.png,0,256,0.3717041015625,1
site3_352.png_X256_Y256,320,site3_352.png,256,256,0.5432586669921875,2
site3_353.png_X0_Y0,321,site3_353.png,0,0,0.0806884765625,1
site3_353.png_X256_Y0,321,site3_353.png,256,0,0.1289215087890625,1
site3_353.png_X0_Y256,321,site3_353.png,0,256,0.2119903564453125,1
site3_353.png_X256_Y256,321,site3_353.png,256,256,0.078857421875,1
site3_354.png_X0_Y0,322,site3_354.png,0,0,0.0,0
site3_354.png_X256_Y0,322,site3_354.png,256,0,0.0562591552734375,1
site3_354.png_X0_Y256,322,site3_354.png,0,256,0.0,0
site3_354.png_X256_Y256,322,site3_354.png,256,256,0.0,0
site3_358.png_X0_Y0,326,site3_358.png,0,0,0.0,0
site3_358.png_X256_Y0,326,site3_358.png,256,0,0.0,0
site3_358.png_X0_Y256,326,site3_358.png,0,256,0.0,0
site3_358.png_X256_Y256,326,site3_358.png,256,256,0.0,0
site3_359.png_X0_Y0,327,site3_359.png,0,0,0.077972412109375,1
site3_359.png_X256_Y0,327,site3_359.png,256,0,0.0,0
site3_359.png_X0_Y256,327,site3_359.png,0,256,0.0,0
site3_359.png_X256_Y256,327,site3_359.png,256,256,0.0,0
site3_360.png_X0_Y0,328,site3_360.png,0,0,0.0,0
site3_360.png_X256_Y0,328,site3_360.png,256,0,0.0,0
site3_360.png_X0_Y256,328,site3_360.png,0,256,0.0,0
site3_360.png_X256_Y256,328,site3_360.png,256,256,0.0,0
site3_361.png_X0_Y0,329,site3_361.png,0,0,0.0991058349609375,1
site3_361.png_X256_Y0,329,site3_361.png,256,0,0.230438232421875,1
site3_361.png_X0_Y256,329,site3_361.png,0,256,0.1027069091796875,1
site3_361.png_X256_Y256,329,site3_361.png,256,256,0.5399627685546875,2
site3_383.png_X0_Y0,350,site3_383.png,0,0,0.0,0
site3_383.png_X256_Y0,350,site3_383.png,256,0,0.0,0
site3_383.png_X0_Y256,350,site3_383.png,0,256,0.0,0
site3_383.png_X256_Y256,350,site3_383.png,256,256,0.289703369140625,1
site3_384.png_X0_Y0,351,site3_384.png,0,0,0.058746337890625,1
site3_384.png_X256_Y0,351,site3_384.png,256,0,0.0,0
site3_384.png_X0_Y256,351,site3_384.png,0,256,0.0744476318359375,1
site3_384.png_X256_Y256,351,site3_384.png,256,256,0.0,0
site3_385.png_X0_Y0,352,site3_385.png,0,0,0.0,0
site3_385.png_X256_Y0,352,site3_385.png,256,0,0.0,0
site3_385.png_X0_Y256,352,site3_385.png,0,256,0.00042724609375,0
site3_385.png_X256_Y256,352,site3_385.png,256,256,0.0099639892578125,0
site3_390.png_X0_Y0,357,site3_390.png,0,0,0.0,0
site3_390.png_X256_Y0,357,site3_390.png,256,0,0.0,0
site3_390.png_X0_Y256,357,site3_390.png,0,256,0.0,0
site3_390.png_X256_Y256,357,site3_390.png,256,256,0.00982666015625,0
site3_391.png_X0_Y0,358,site3_391.png,0,0,0.0,0
site3_391.png_X256_Y0,358,site3_391.png,256,0,0.0,0
site3_391.png_X0_Y256,358,site3_391.png,0,256,0.089996337890625,1
site3_391.png_X256_Y256,358,site3_391.png,256,256,0.0874481201171875,1
site3_392.png_X0_Y0,359,site3_392.png,0,0,0.0,0
site3_392.png_X256_Y0,359,site3_392.png,256,0,0.2078857421875,1
site3_392.png_X0_Y256,359,site3_392.png,0,256,0.0,0
site3_392.png_X256_Y256,359,site3_392.png,256,256,0.035980224609375,0
site3_393.png_X0_Y0,360,site3_393.png,0,0,0.2079010009765625,1
site3_393.png_X256_Y0,360,site3_393.png,256,0,0.012969970703125,0
site3_393.png_X0_Y256,360,site3_393.png,0,256,0.287078857421875,1
site3_393.png_X256_Y256,360,site3_393.png,256,256,0.081787109375,1
site3_415.png_X0_Y0,380,site3_415.png,0,0,0.0,0
site3_415.png_X256_Y0,380,site3_415.png,256,0,0.0,0
site3_415.png_X0_Y256,380,site3_415.png,0,256,0.0,0
site3_415.png_X256_Y256,380,site3_415.png,256,256,0.0,0
site3_416.png_X0_Y0,381,site3_416.png,0,0,0.4728240966796875,2
site3_416.png_X256_Y0,381,site3_416.png,256,0,0.18621826171875,1
site3_416.png_X0_Y256,381,site3_416.png,0,256,0.1446533203125,1
site3_416.png_X256_Y256,381,site3_416.png,256,256,0.318634033203125,1
site3_421.png_X0_Y0,386,site3_421.png,0,0,0.0,0
site3_421.png_X256_Y0,386,site3_421.png,256,0,0.0470428466796875,0
site3_421.png_X0_Y256,386,site3_421.png,0,256,0.0,0
site3_421.png_X256_Y256,386,site3_421.png,256,256,0.0,0
site3_422.png_X0_Y0,387,site3_422.png,0,0,0.0,0
site3_422.png_X256_Y0,387,site3_422.png,256,0,0.1150360107421875,1
site3_422.png_X0_Y256,387,site3_422.png,0,256,0.0,0
